year,TSB_million_t_updated,SSB_million_t_updated,catch_total_thousand_t,ODU_total_thousand_t,ODU_61.05.1_thousand_t,ODU_61.05.2_thousand_t,ODU_61.05.4_thousand_t,Recruitment_billion_individuals_ilyin2016,Fishing_mortality_F_1_per_year_ilyin2016,SST_anom_degC,Ice_max_Okhotsk_1e4km2_JMA,AO_DJFM,PDO_DJFM,OI_june,OI_july,OI_aug,OI_JJA
1997,9.469609639624633,6.668583167209607,999.910805732484,,,,,13.54014598540146,0.03379310344827586,0.4399999999999999,103.91,0.2004999999999999,0.4625000000000001,1011.54117647059,1007.61764705882,1011.86176470588,1010.34019607843
1998,6.295530012771392,3.989180359684306,938.7541815286623,,,,,15.072992700729927,0.09172413793103448,0.2685714285714285,125.65,-0.64725,1.16175,1012.97941176471,1011.55294117647,1012.15588235294,1012.2294117647066
1999,4.63485268859823,2.439273100148113,978.5059872611464,,,,,11.496350364963503,0.23172413793103447,-0.1542857142857143,124.29,0.1132499999999999,-0.85475,1008.03235294118,1010.47941176471,1008.95294117647,1009.1549019607868
2000,4.073334677690395,2.269923664122139,975.4481560509556,,,,,9.452554744525548,0.3886206896551724,-0.28,136.54,0.7344999999999999,-1.34325,1009.36470588235,1008.98235294118,1011.69411764706,1010.0137254901966
2001,4.853529662184158,2.667722886360361,935.6963503184712,,,,,15.456204379562044,0.4682758620689655,-0.4000000000000001,151.67,-1.4055,-0.1139999999999999,1007.88823529412,1009.71470588235,1011.87058823529,1009.82450980392
2002,6.105827260661608,3.392039258451472,975.4481560509556,,,,,18.138686131386862,0.4006896551724138,-0.3714285714285714,128.58,0.56625,-0.7484999999999999,1010.35882352941,1011.03529411765,1014.33823529412,1011.9107843137266
2003,6.383141762452108,3.617557251908399,972.3903248407644,,,,,19.543795620437958,0.19310344827586207,-0.2571428571428571,125.49,-0.25075,1.18025,1006.77352941177,1015.63529411765,1008.76176470588,1010.3901960784333
2004,7.080459770114944,3.940839694656488,938.7541815286623,,,,,17.88321167883212,0.08206896551724137,-0.1028571428571429,112.69,-0.65775,-0.1905,1008.27058823529,1007.22941176471,1007.97647058824,1007.82549019608
2005,6.946360153256705,4.178625954198476,990.7373121019108,,,,,10.21897810218978,0.04344827586206896,0.0571428571428571,93.92,-0.4994999999999999,-0.0547499999999999,1006.92647058824,1010.43529411765,1008.10294117647,1008.48823529412
2006,7.633702457714231,4.477701888308558,990.7373121019108,,,,,17.627737226277375,0.004827586206896551,0.0857142857142856,93.09,-1.0085,0.044,1012.51470588235,1009.59117647059,1010.22941176471,1010.77843137255
2007,8.252530451192316,4.894502718435938,938.7541815286623,,,,,18.649635036496353,0.004827586206896551,0.0857142857142856,109.97,1.04775,-0.569,1009.17352941176,1008.39411764706,1006.24411764706,1007.9372549019599
2008,9.741957637533435,6.07824427480916,993.7951433121018,,,,,22.226277372262775,0.009655172413793102,0.177142857142857,113.48,0.7909999999999999,-1.259,1011.32647058824,1009.90588235294,1010.82352941176,1010.6852941176467
2009,10.39272030651341,6.701268257498348,990.7373121019108,,,,,9.197080291970803,0.004827586206896551,0.0799999999999998,112.12,0.22425,-1.63675,1012.18235294118,1008.42647058824,1010.20588235294,1010.2715686274533
2010,10.31876831192247,7.16030534351145,975.4481560509556,,,,,22.226277372262775,0.004827586206896551,0.1199999999999998,114.2,-2.6745,-0.0594999999999999,1008.49117647059,1011.95294117647,1007.48823529412,1009.3107843137267
2011,8.92360463912188,7.173664122137405,1015.199961783439,,,,,15.328467153284672,0.009655172413793102,0.2799999999999999,97.32,-0.32875,-1.41775,1006.04705882353,1008.82647058824,1008.23823529412,1007.70392156863
2012,8.948770238536644,6.942111959287533,981.5638184713376,,,,,21.715328467153284,0.03379310344827586,0.0914285714285714,115.04,0.7505,-1.7175,1011.08529411765,1010.29705882353,1008.67352941176,1010.01862745098
2013,8.995361968138738,6.269602143471007,966.2746624203822,,,,,16.861313868613138,0.04827586206896552,0.0514285714285713,109.92,-1.63775,-1.12325,1009.92058823529,1010.27352941177,1007.99776470588,1009.3972941176467
2014,9.070578745714862,6.074947952810547,1018.257792993631,,,,,17.37226277372263,0.03862068965517241,0.2799999999999999,103.55,0.439,-0.406,1011.06741176471,1009.63676470588,1009.94708823529,1010.2170882352933
2015,9.652370332246813,6.33206106870229,963.216831210191,,,,,,,0.2342857142857142,70.26,1.09625,1.39925,1010.32874244118,1008.19211005882,1013.08056823529,1010.5338069117633
2016,10.06320376707321,6.564092777451557,959.792,,,,,,,0.0171428571428571,119.27,0.0627499999999999,0.7885000000000001,1012.39089967647,1012.25316655882,1009.45806526471,1011.3673771666666
2017,9.950191570881229,6.599236641221374,959.359,,,,,,,0.1428571428571428,96.04,0.7065,-0.0677499999999999,1009.89147058824,1006.13764705882,1011.49212107938,1009.1737462421466
2018,9.604420866489832,6.692748091603054,960.102,,,,,,,0.2628571428571428,115.19,-0.292,-0.3409999999999999,1010.9309979607,1011.09283447265,1011.16615205652,1011.06332816329
2019,9.27133973996608,6.663712068639204,961.383,,,,,,,0.2571428571428571,122.52,0.6655,-0.38025,1011.4388068704,1010.84697050206,1012.61932911592,1011.6350354961265
2020,8.944444444444443,6.40175904414205,1054.9,,,,,,,0.2571428571428571,108.39,2.22225,-1.0125,1011.44363223805,1010.61790915096,1010.25225650563,1010.7712659648801
2021,8.8,6.2,969.559,,,,,,,,117.63,-0.8254999999999999,-1.1745,1009.37603041705,1010.23162841796,1013.09965604894,1010.90243829465
2022,,,,,,,,,,,80.68,0.72375,-2.032,1011.67712581858,1010.52210549747,1006.42977546243,1009.5430022594933
2023,9.5,6.4,890.3,,,,,,,,107.26,-0.37825,-1.64425,1007.50917561848,1006.69138220584,1011.06328975793,1008.4212825274167
2024,,,,951.5,346.8,334.3,270.4,,,,120.68,-0.1014999999999999,-1.35575,,,,
2025,10.2,6.1,,1153.8,419.8,404.4,329.6,,,,87.75,-0.178,-1.39125,,,,
